AUTHOR,PUBLICATION DATE,TITLE,Thesis #,FILE NAME,Online
"Baker, William  D.",1988.0,Applications for pneumatic transport and system design calculations for underground mines,2333.0,Mackay026_Baker.pdf,
"Baker, William David",1988,Applications For Pneumatic Transport And System Design Calculations For Underground Mines,,,https://search.proquest.com/docview/303693333?accountid=452
"Balasko, Clara Maureen",2003,"Mechanism And Sequence Of Formation Of Deformation Bands Into Spatially Localized Or Distributed Sets: Ladders, Riedels, And Echelon Arrays Of Utah",,,https://search.proquest.com/docview/250272977?accountid=452
"Baldwin, Dylan",2014,"Evidence For Rapid Epithermal Mineralization And Coeval Bimodal Volcanism, Bruner Au-Ag Property, Nv Usa",,,https://search.proquest.com/docview/1655362342?accountid=452
"Balogh, Carli H.",2016,"Tertiary Volcanic Rocks, Hydrothermal Alteration, And Epithermal Precious Metal Deposits Of The Patterson Mining District, Sweetwater Mountains, Mono County, California And Lyon County, Nevada",,,https://search.proquest.com/docview/1870657277?accountid=452
"Bamford, Robert Calderwood",1997,Development Of A Graphical User Interface To Make Gis Analysis Accessible For Modern And Paleoenvironmental Research,,,https://search.proquest.com/docview/304388326?accountid=452
"Banks, Eric W. ",1982.0,"Liquefaction potential at the Naval Weapons Center, China Lake, California",1708.0,"Mackay027_Banks.pdf, Mackay027_Banks_map_0001.jpg, Mackay027_Banks_map_0002.jpg, Mackay027_Banks_map_0003.jpg, Mackay027_Banks_map_0004.jpg",
"Bansah, Daniel",2006,"Assessing The Uncertainty Associated With Regional Groundwater Model Development For The Fernley/Wadsworth Hydrographic Basins, Nevada",,,https://search.proquest.com/docview/305274746?accountid=452
"Banta, John Ryan",2006,Interpretation Of Glaciochemical Records From An Array Of Greenland Ice Cores,,,https://search.proquest.com/docview/305295197?accountid=452
"Barber, Kaitlyn",2015,"Geology, Alteration, Geochemistry, And Paragenesis Of The Vista Vein Shear Zone Deposit, Humboldt County, Nevada",,,https://search.proquest.com/docview/1697862019?accountid=452
"Bard, Thomas R.",1980.0,"Hydrothermal alteration in two deep exploratory wells in Dixie Valley, Nevada",1427.0,"Mackay028_Bard.pdf, Mackay028_Bard_map_0001.jpg, Mackay028_Bard_map_0002.jpg, Mackay028_Bard_map_0003.jpg, Mackay028_Bard_map_0004.jpg",
"Bard, Thomas Richard",1980,"Hydrothermal Alteration In Two Deep Exploratory Wells In Dixie Valley, Nevada.",,,https://search.proquest.com/docview/303033036?accountid=452
"Baril, Tyler C.",2013,"Igneous Geochemistry And Geochronology Of The Spruce Mountain District, Elko County, Nevada",,,https://search.proquest.com/docview/1496773491?accountid=452
"Barnard, Chase K.",2015,A Study Regarding The Application Of The Refraction Microtremor (Remi) Process In An Underground Mining Environment,,,https://search.proquest.com/docview/1697862025?accountid=452
"Barnes, James Irvin ",1971.0,Measurement of mercury in soil gas: an aid to mineral exploration in Nevada,575.0,Mackay029_Barnes.pdf,
"Barnett, Ean T.",2011,Cultural Mapping Of A Folkloric People,,,https://search.proquest.com/docview/873894724?accountid=452
"Barnett, Engrid",2014,Rockin' The Comstock: Exploring The Unlikely And Underappreciated Role Of A Mid-Nineteenth Century Northern Nevada Ghost Town (Virginia City) In The Development Of The 1960S Psychedelic Esthetic And "San Francisco Sound",,,https://search.proquest.com/docview/1557708298?accountid=452
"Barney, John James ",1976.0,Regeneration of waste acid from a new ilmenite treatment process by electrodialysis,1103.0,Mackay030_Barney.pdf,
"Barney, John James",1976,Regeneration Of Waste Acid From A New Ilmenite Treatment Process By Electrodialysis.,,,https://search.proquest.com/docview/302758796?accountid=452
"Barr, Douglass Scott ",1973.0,The minimization of chlorate production during the electrolytic oxidation of molybdenite in aqueous brine solutions,795.0,Mackay031_Barr.pdf,
"Barron, Andrew D.",2007,"Paleoseismology Of The Osgood Mountains, Northern Basin And Range, Nevada",,,https://search.proquest.com/docview/304826849?accountid=452
"Barry, Jeffrey M. ",1985.0,"Hydrogeochemistry of Golden Valley, Nevada and the chemical interactions during artificial recharge",2054.0,Mackay032_Barry.pdf,
"Barry, Jeffrey Marshall",1986,"Hydrogeochemistry Of Golden Valley, Nevada And The Chemical Interactions During Artificial Recharge (Isotopes, Phreeqe)",,,https://search.proquest.com/docview/303510025?accountid=452
"Barth, Cornelia",2013,Toward The Use Of Modern Hydrologic Modeling Tools In Paleoclimate Studies,,,https://search.proquest.com/docview/1496773080?accountid=452
"Bartlett, Justin A.",2006,Assessing The Impacts Of Nutrient Load Uncertainties On Predicted Truckee River Water Quality,,,https://search.proquest.com/docview/305276197?accountid=452
"Basinski, Paul ",1978.0,"The mineralogy and uranium potential of bedded zeolites in the northern Reese River Valley, Lander County, Nevada",1292.0,"Mackay033_Basinski.pdf, Mackay033_Basinski_map_0001.jpg, Mackay033_Basinski_map_0002.jpg, Mackay033_Basinski_map_0003.jpg",
"Basinski, Paul Martin",1978,"The Mineralogy And Uranium Potential Of Bedded Zeolites In The Northern Reese River Valley, Lander County, Nevada.",,,https://search.proquest.com/docview/302885187?accountid=452
"Basler-Reeder, Kyle J.",2015,Joint Optimization Of Vertical Component Gravity And Seismic P-Wave First Arrivals By Simulated Annealing,,,https://search.proquest.com/docview/1697862022?accountid=452
"Bateman, Richard L.",1970.0,"Environmental controls on occurrence and chemistry of ground water in a basic volcanic terrane, eastern Sierra Nevada",478.0,"Mackay034_Bateman_1970.pdf, Mackay034_Bateman_1970_map_0001.jpg, Mackay034_Bateman_1970_map_0002.jpg",
"Bateman, Richard L.",1976.0,Influence of watershed characteristics on water quality behavior of streams in the eastern Sierra Nevada,1055.0,Mackay035_Bateman_1976.pdf,http://search.proquest.com/docview/302800557/citation/11DD8EEE4918407FPQ/1?accountid=452
"Batra, Ravi ",1970.0,"Travel-times and crustal structure in the Nevada region from earthquakes, nuclear explosions, and mine blasts",509.0,Mackay036_Batra.pdf,
"Batts, Candace",2005,Hydrologic Responses Of Tallgrass Prairie Ecosystems In The Ecocells To Seasonal And Interannual Climate Variability,,,https://search.proquest.com/docview/305426409?accountid=452
"Beamer, Jordan P.",2011,Estimation Of Annual Groundwater Evapotranspiration From Phreatophyte Vegetation In The Great Basin Using Remotely Sensed Vegetation Indices And Ground Based Flux Tower Measurements,,,https://search.proquest.com/docview/894425866?accountid=452
"Beck, John W.",2010,The Effects Of Directed Patrols In Unincorporated Areas: A Case Study Of The Data-Driven Approach To Crime And Traffic Safety,,,https://search.proquest.com/docview/501795815?accountid=452
"Beeston, Catherine Lois",2004,"Federal Lands, Territorial Counties And Urban Archipelagoes: Can Nevada Have A State Land Use Plan?",,,https://search.proquest.com/docview/305162286?accountid=452
"Behnke, Jerold J.",1961.0,"Geology of the southern portion of Martin’s Ridge, Monitor Range, Nye County, Nevada",Tm B419,"Mackay037_Behnke_1961.pdf, Mackay037_Behnke_1961_map_0001.jpg, Mackay037_Behnke_1961_map_0002.jpg",
"Behnke, Jerold J.",1967.0,Clogging in artificial ground-water recharge operations,183.0,Mackay038_Behnke_1967.pdf,
"Behnke, Jerold Jay",1967,Clogging In Artificial Groundwater Recharge Operations,,,https://search.proquest.com/docview/302260179?accountid=452
"Bekhit, Hesham Bekhit Mohamed",2004,Contaminant Transport In Porous Media In The Presence Of Colloids: Numerical And Experimental Investigations,,,https://search.proquest.com/docview/305162793?accountid=452
"Belaustegui, Felvia J.",2000,The Evolution Of An Ethnic Community: Immigration Of Italians To Reno,,,https://search.proquest.com/docview/304613266?accountid=452
"Benato, Stefano",2014,"Investigation Into Fracture Network Permeability Evolution And Geothermal Reservoir Deformation In Response To Hydraulic Stimulation, Utilizing Coupled Thermo-Hydro-Mechanical Modeling",,,https://search.proquest.com/docview/1651954675?accountid=452
"Benedict, Frank Christopher, Jr.",2000,"The Interaction Of Dissolved Rare Earth Elements With Basin -Fill Materials From The Yucca Flat Area Of The Nevada Test Site, With Inferences To Actinide Mass Transfer Potential",,,https://search.proquest.com/docview/304613431?accountid=452
"Benge, Elizabeth M.",2016,"Pilot Study Using Elemental Geochemistry As A Means Of Discriminating Chert Stratigraphy In The Roberts Mountains Allochthon, Nevada",,,https://search.proquest.com/docview/1842427689?accountid=452
"Benham, Julia Anne",1982.0,"Geology and uranium content of Middle Tertiary ash-flow tuffs in the southern Nightingale Mountains and northern Truckee Range, Washoe County, Nevada",1688.0,"Mackay039_Benham.pdf, Mackay039_Benham_map_0001.jpg, Mackay039_Benham_map_0002.jpg",
"Benham, Julia Anne",1982,"Geology And Uranium Content Of Middle Tertiary Ash-Flow Tuffs In The Southern Nightingale Mountains And Northern Truckee Range, Washoe County, Nevada.",,,https://search.proquest.com/docview/303233440?accountid=452
"Benito, Hugo Oscar",1970.0,Use of multiple correlation for forecasting streamflow,516.0,Mackay040_Benito.pdf,
"Bennett, John Christopher",1999,"Hydrogeochemistry Of The Groundwater At The Getchell Mine, Humboldt County, Nevada",,,https://search.proquest.com/docview/304513492?accountid=452
"Benson, David Andrew",1998,The Fractional Advection-Dispersion Equation: Development And Application,,,https://search.proquest.com/docview/304439567?accountid=452
"Bentley, Susanne Gail",1997,Lake Stories: An Exploration Of The Impact Of Humans On The Environment In The Lake Tahoe Basin,,,https://search.proquest.com/docview/304372274?accountid=452
"Benzer, William B., Jr.",1989.0,On the use of the variogram for the estimation of rock surface profile fractal dimension,2582.0,Mackay041_Benzer.pdf,
"Benzer, William B., Jr.",1989,On The Use Of The Variogram For The Estimation Of Rock Surface Profile Fractal Dimension,,,https://search.proquest.com/docview/303710105?accountid=452
"Berger, David Lemuel",1998,"Estimates Of Mountain-Front Recharge For Selected Watersheds In Eagle Valley, West-Central Nevada",,,https://search.proquest.com/docview/304439826?accountid=452
"Bernard, Lance Vernon",2002,"Nature Building Nature: Architecture And Regional Identity In The San Francisco Bay Area, 1870–1970",,,https://search.proquest.com/docview/305503715?accountid=452
"Berry, Alan R.",1992.0,"A geological study of the Betze gold deposit, Eureka County, Nevada",3026.0,"Mackay042_Berry.pdf, Mackay042_Berry_map_0001.jpg, Mackay042_Berry_map_0002.jpg, Mackay042_Berry_map_0003.jpg, Mackay042_Berry_map_0004.jpg, Mackay042_Berry_map_0005.jpg, Mackay042_Berry_map_0006.jpg, Mackay042_Berry_map_0007.jpg, Mackay042_Berry_map_0008.jpg, Mackay042_Berry_map_0009.jpg, Mackay042_Berry_map_0010.jpg, Mackay042_Berry_map_0011.jpg, Mackay042_Berry_map_0012.jpg, Mackay042_Berry_map_0013.jpg, Mackay042_Berry_map_0014.jpg, Mackay042_Berry_map_0015.jpg, Mackay042_Berry_map_0016.jpg",http://search.proquest.com/docview/303993829/abstract?accountid=452
"Berry, Alan Ross",1992,"A Geological Study Of The Betze Gold Deposit, Eureka County, Nevada",,,https://search.proquest.com/docview/303993829?accountid=452
"Berry, Kayla D.",2011,Assessing Western U.S. Interstate River Watershed Cooperation For Water Quality Issues,,,https://search.proquest.com/docview/873895580?accountid=452
"Bethune, Angus Y.",1938.0,Metallurgy for the retreatment of cobalt residue,Tm B563,Mackay043_Bethune.pdf,
"Bhaduri, Rahul S.",1987.0,Lixiviation of refractory ores with diethylamine or ammonium thiosulfate,2256.0,Mackay044_Bhaduri.pdf,
"Bhaduri, Rahul S.",1987,Lixiviation Of Refractory Ores With Diethylamine Or Ammonium-Thiosulfate,,,https://search.proquest.com/docview/303581005?accountid=452
"Bhattarai, Mahesh P.",2013,Impact Of Climate Change On Surface And Subsurface Water Interaction And Riparian Vegetation: Linkage Between Hydrology And Invasive Tamarisk In A Semi-Arid Basin,,,https://search.proquest.com/docview/1416393040?accountid=452
"Bird, David A. ",1993.0,Geochemical modeling of mine pit water: an overview and application of computer codes,3363.0,Mackay046_BirdD.pdf,http://search.proquest.com/docview/304079869?pq-origsite=summon&accountid=452
"Bird, David Allan",1993,Geochemical Modeling Of Mine Pit Water: An Overview And Application Of Computer Codes,,,https://search.proquest.com/docview/304079869?accountid=452
"Bird, John  Wilbur",1970.0,Operational hydrology and reservoir size determination,484.0,Mackay045_BirdJ.pdf,
"Bird, John Wilbur",1970,Operational Hydrology And Reservoir Size Determination,,,https://search.proquest.com/docview/302523346?accountid=452
"Bisiaux, Marion Mathilde Anne",2011,Black Carbon Nanoparticles In Paleo-Records: A Combustion Proxy,,,https://search.proquest.com/docview/918134412?accountid=452
"Blackburn, Wilbert Howard",1973.0,Simulated rainfall studies of selected plant communities and soils in five rangeland watersheds of Nevada,754.0,Mackay047_Blackburn.pdf,
"Blackburn, Wilbert Howard",1973,Simulated Rainfall Studies Of Selected Plant Communities And Soils In Five Rangeland Watersheds Of Nevada,,,https://search.proquest.com/docview/302683209?accountid=452
